iter	Logloss
0	0.6885120092
1	0.6822718074
2	0.6766878621
3	0.6716981523
4	0.6664438141
5	0.6607470137
6	0.6554885607
7	0.6515212327
8	0.6472867473
9	0.6418446744
10	0.6369344304
11	0.6323256761
12	0.627764584
13	0.6242695069
14	0.6203157661
15	0.6158123659
16	0.6125688017
17	0.6095324741
18	0.6055039824
19	0.6016396512
20	0.5978546571
21	0.5941757888
22	0.5902145043
23	0.5865271922
24	0.5827678723
25	0.5790078667
26	0.5758312525
27	0.5735448773
28	0.5703966805
29	0.5669676963
30	0.5641358622
31	0.5607192222
32	0.5576557631
33	0.5547159602
34	0.5514984131
35	0.5495764915
36	0.5467200119
37	0.5438617321
38	0.5424966276
39	0.539688839
40	0.5372489329
41	0.5351894679
42	0.5332413148
43	0.5308455992
44	0.5293682827
45	0.526992755
46	0.5250823203
47	0.5233963527
48	0.5208639509
49	0.5184591058
50	0.5160124704
51	0.5143616066
52	0.511754711
53	0.5094343464
54	0.5078566476
55	0.5064845567
56	0.5041838228
57	0.5031368813
58	0.5010581284
59	0.4992883661
60	0.4979708811
61	0.4961140665
62	0.494322959
63	0.492487961
64	0.4908741726
65	0.4893624381
66	0.4880750849
67	0.4871648724
68	0.4859913172
69	0.4847393679
70	0.4832618799
71	0.4817489024
72	0.4804509195
73	0.4786437817
74	0.4770357368
75	0.4756564022
76	0.4745946306
77	0.4731534036
78	0.4716963179
79	0.4706194588
80	0.4695201402
81	0.4682968654
82	0.4671257962
83	0.4664643105
84	0.4653689781
85	0.4641480178
86	0.4633444025
87	0.4625355581
88	0.4614289102
89	0.4603319061
90	0.4596409744
91	0.4580493456
92	0.4569381542
93	0.4563069719
94	0.4552836472
95	0.4547661771
96	0.4540140388
97	0.4535852497
98	0.4528385119
99	0.45189311
100	0.450757316
101	0.4496579974
102	0.4485227606
103	0.4478139127
104	0.4467547127
105	0.4460254198
106	0.4451253655
107	0.4444087168
108	0.4438034229
109	0.4433680759
110	0.4422375968
111	0.4413059535
112	0.4405373563
113	0.4399216041
114	0.4397342553
115	0.4387998259
116	0.4382593391
117	0.4375075437
118	0.4369826585
119	0.4364332563
120	0.4358843686
121	0.4351703772
122	0.4345001049
123	0.4338274324
124	0.4334406906
125	0.4328513842
126	0.4324149657
127	0.4314241731
128	0.4307538579
129	0.430360344
130	0.429885007
131	0.4295003227
132	0.4288685402
133	0.4287463413
134	0.4283382973
135	0.4277941243
136	0.4271962027
137	0.4268591377
138	0.4261339595
139	0.4255590975
140	0.4251950296
141	0.4246303258
142	0.4245947934
143	0.4241967791
144	0.4239345936
145	0.4232819804
146	0.422779169
147	0.4225431721
148	0.4220440468
149	0.4216012419
150	0.4210330234
151	0.4206810426
152	0.4203592793
153	0.4198239787
154	0.419161593
155	0.4187044294
156	0.4184116406
157	0.4178939134
158	0.4175860373
159	0.4170861405
160	0.4166931838
161	0.4161705274
162	0.415775642
163	0.4151490458
164	0.4145198779
165	0.4139494735
166	0.4134380898
167	0.4131877771
168	0.4126535051
169	0.4122605485
170	0.4117842256
171	0.4110780352
172	0.4107138816
173	0.4105085309
174	0.4100603682
175	0.4096575105
176	0.4094438874
177	0.4092707259
178	0.4090602318
179	0.4087954746
180	0.4084112189
181	0.4081996961
182	0.4079722715
183	0.4076022887
184	0.4072354349
185	0.4070519865
186	0.4066190398
187	0.4062764886
188	0.4060185036
189	0.4055523819
190	0.4050286111
191	0.404557646
192	0.4043183059
193	0.4040160018
194	0.4038735722
195	0.4034793297
196	0.4031594094
197	0.4028823081
198	0.4025097108
199	0.4020154717
200	0.4016670913
201	0.4013228684
202	0.4009897468
203	0.4006632258
204	0.4002954719
205	0.3999489345
206	0.3996941641
207	0.3993569706
208	0.3991121442
209	0.3987660783
210	0.3985129796
211	0.3981640848
212	0.3980366996
213	0.3977911017
214	0.3974881547
215	0.3972191971
216	0.3970606515
217	0.3969561116
218	0.3967608334
219	0.3965074346
220	0.3961363375
221	0.3959466313
222	0.395659286
223	0.3954824383
224	0.3953414231
225	0.3952517563
226	0.3951662899
227	0.3949744407
228	0.3948419121
229	0.3945756548
230	0.3944535845
231	0.3943587742
232	0.3942208451
233	0.393993592
234	0.3936715287
235	0.3933822117
236	0.3931917341
237	0.3929591232
238	0.392821537
239	0.3926495327
240	0.3924834005
241	0.3923201829
242	0.3919255975
243	0.3916874575
244	0.3914887503
245	0.391383439
246	0.3911831459
247	0.3909287185
248	0.3907671725
249	0.3906593751
250	0.3904666686
251	0.3902431017
252	0.3900806127
253	0.389958971
254	0.3896707256
255	0.3895207952
256	0.38926131
257	0.3891578417
258	0.3890970637
259	0.3888293063
260	0.3886124686
261	0.3883575268
262	0.3881939663
263	0.3879906729
264	0.387745375
265	0.387555626
266	0.387332702
267	0.387244621
268	0.3869862931
269	0.3869304443
270	0.3867666695
271	0.3866191821
272	0.3865736629
273	0.386423261
274	0.3862832744
275	0.386165576
276	0.3859913858
277	0.3859079768
278	0.3856697511
279	0.3855547959
280	0.3854190098
281	0.3851893136
282	0.3849618033
283	0.3848114014
284	0.3847240919
285	0.3846309533
286	0.3844649497
287	0.3844140299
288	0.3842194804
289	0.3840639779
290	0.3839026462
291	0.3838089504
292	0.3837011102
293	0.3835673814
294	0.3834334813
295	0.3832867655
296	0.3831699671
297	0.3830226084
298	0.3828473466
299	0.3826299946
300	0.3825322698
301	0.3824609478
302	0.3821995339
303	0.3821311694
304	0.3819828248
305	0.381897487
306	0.3818039626
307	0.3816206
308	0.3815095451
309	0.3813660011
310	0.3812092127
311	0.3810650686
312	0.3809962755
313	0.3807736515
314	0.3806774697
315	0.3805426265
316	0.3804309288
317	0.3802897421
318	0.3801587566
319	0.379850409
320	0.3798012466
321	0.3796340428
322	0.3793887878
323	0.379214769
324	0.3791278453
325	0.3790610667
326	0.3789737144
327	0.3788724749
328	0.3787231874
329	0.3786105895
330	0.3785127361
331	0.3784062246
332	0.3781576264
333	0.3781566834
334	0.3780822754
335	0.3780040098
336	0.3780031097
337	0.3778375347
338	0.3778176897
339	0.3777355666
340	0.3776423422
341	0.377632784
342	0.3774439351
343	0.3773756563
344	0.377260101
345	0.3771315157
346	0.3770906255
347	0.3770088024
348	0.3768174246
349	0.3765974152
350	0.3765364658
351	0.3763385301
352	0.3761665687
353	0.376071587
354	0.3760260678
355	0.3759459592
356	0.3758641789
357	0.3757579675
358	0.3756889172
359	0.3755674041
360	0.375533629
361	0.3753945426
362	0.3753223633
363	0.375280916
364	0.3751192843
365	0.3749473658
366	0.3748276957
367	0.3746950814
368	0.3746085006
369	0.3745768686
370	0.3744935882
371	0.3743627312
372	0.3743098398
373	0.374293338
374	0.3741923129
375	0.3741296918
376	0.3740699425
377	0.3740010637
378	0.3738265305
379	0.3737896694
380	0.3737192904
381	0.3736252517
382	0.3734027134
383	0.3732065351
384	0.3730709205
385	0.3729676236
386	0.3727400705
387	0.3726327446
388	0.3725379344
389	0.3724976015
390	0.3724304371
391	0.3723254257
392	0.3721879681
393	0.3721387199
394	0.3721009158
395	0.371999762
396	0.3719534713
397	0.3718671906
398	0.371790168
399	0.3716672404
400	0.3716003761
401	0.371538398
402	0.3714974221
403	0.3713953683
404	0.3713410624
405	0.3711612144
406	0.371161043
407	0.3710401299
408	0.3709837667
409	0.3708602391
410	0.3708316074
411	0.3707598568
412	0.3706740476
413	0.3706322145
414	0.3705155876
415	0.3703933459
416	0.3703354825
417	0.3702576026
418	0.3701783084
419	0.3701469336
420	0.3701020573
421	0.3700331784
422	0.3698964494
423	0.369827742
424	0.3697501193
425	0.369634864
426	0.3695445543
427	0.369494106
428	0.3693899948
429	0.3693249306
430	0.3692643241
431	0.3691253662
432	0.3690065534
433	0.3689067712
434	0.3688252481
435	0.3686958913
436	0.3686169828
437	0.3685590337
438	0.368451022
439	0.3684061029
440	0.3683239369
441	0.3682899046
442	0.3682367132
443	0.3681689487
444	0.3680989126
445	0.3680614514
446	0.3679939441
447	0.3679774852
