iter	Passed	Remaining
442	2229	286
443	2235	281
444	2241	276
445	2245	271
446	2255	267
447	2259	262
448	2265	257
449	2270	252
450	2275	247
451	2280	242
452	2285	237
453	2290	232
454	2295	226
455	2299	221
456	2305	216
457	2310	211
458	2316	206
459	2320	201
460	2325	196
461	2330	191
462	2334	186
463	2339	181
464	2345	176
465	2351	171
466	2357	166
467	2365	161
468	2370	156
469	2375	151
470	2381	146
471	2386	141
472	2392	136
473	2396	131
474	2401	126
475	2407	121
476	2409	116
477	2412	111
478	2417	105
479	2423	100
480	2426	95
481	2433	90
482	2438	85
483	2443	80
484	2449	75
485	2453	70
486	2457	65
487	2462	60
488	2468	55
489	2473	50
490	2479	45
491	2485	40
492	2490	35
493	2495	30
494	2501	25
495	2505	20
496	2512	15
497	2517	10
498	2523	5
499	2527	0
